,benchmark,target,total_iterations,threads,terms,series,start_rate,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,workers,precision,messages_per_worker,write_percentage,num_workers,grid_size,priorities,threshold,size,solution_limit,pings,haircuts,waiting_room_size,production_rate,haircut_rate,pieces,left,right,eating_rounds,philosophers,actors,size_percentage,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,data_length,block_threshold,messages,accounts,transactions,block_size,max_edge_weight,rounds,smokers,data_size,max_value,seed,columns,simulations,channels
104,Concurrent Sorted Linked List,lf-c,12,12,,,,GEDF_NP,347.49,402.75,357.64300000000003,361.96875,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
105,Sleeping Barber,lf-c,12,12,,,,GEDF_NP,75.331,75.835,75.4205,75.46333333333334,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Chameneos,lf-c,12,1,,,,adaptive,124.961,125.264,125.078,125.08675000000001,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,
107,Big,lf-c,12,1,,,,adaptive,144.12,146.401,145.502,145.31666666666666,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,500.0,,,,,,,,,,,,
108,Cigarette Smokers,lf-c,12,12,,,,NP,1.728,1.765,1.734,1.7373333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,
109,A-Star Search,lf-c,12,1,,,,GEDF_NP,39.506,42.242,40.525,40.506538461538454,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Concurrent Dictionary,lf-c,12,1,,,,GEDF_NP,79.69,87.753,86.789,86.43,20.0,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Bank Transaction,lf-c,12,1,,,,GEDF_NP,151.088,155.049,153.62900000000002,153.22108333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,
112,Trapezoidal Approximation,lf-c,12,1,,,,adaptive,136.89,137.17,136.9355,136.95341666666667,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Producer Consumer (bounded),lf-c,12,1,,,,GEDF_NP,215.993,216.171,216.0335,216.05849999999998,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,
