,benchmark,target,total_iterations,threads,rounds,smokers,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,actors,pings,num_workers,block_size,max_edge_weight,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,eating_rounds,philosophers,workers,data_length,block_threshold,priorities,precision,messages,pieces,left,right,terms,series,start_rate,accounts,transactions,data_size,max_value,seed,size,threshold,solution_limit,messages_per_worker,write_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,grid_size,size_percentage,columns,simulations,channels
97,Concurrent Dictionary,lf-c,12,2,,,GEDF_NP,145.151,163.582,157.971,157.42374999999998,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
98,Thread Ring,lf-c,12,18,,,GEDF_NP,140.693,141.346,140.73250000000002,140.80541666666667,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Cigarette Smokers,lf-c,12,9,1000.0,200.0,NP,1.729,2.046,1.739,1.78975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bank Transaction,lf-c,12,9,,,adaptive,103.201,109.362,105.5875,105.65041666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,,,,
101,Cigarette Smokers,lf-c,12,2,1000.0,200.0,adaptive,1.744,2.155,1.7515,1.8095833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Precise Pi Computation,lf-c,12,9,,,NP,72.506,74.489,73.2165,73.31183333333333,,,,,,,,,,,,,,,,20.0,,,,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Recursive Matrix Multiplication,lf-c,12,4,,,adaptive,90.056,98.804,91.4175,92.791,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Concurrent Dictionary,lf-c,12,2,,,adaptive,71.689,78.87,78.569,77.69416666666667,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,
105,Big,lf-c,12,2,,,GEDF_NP,214.268,219.429,215.4905,215.97300000000004,120.0,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,
106,Recursive Matrix Multiplication,lf-c,12,2,,,adaptive,90.719,117.901,91.485,94.57041666666667,,,,,,,,,,,,,,,,20.0,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
